image_path,prompt,prediction
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG017.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG133.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG046.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG377.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG170.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG205.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG265.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG174.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG500.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG387.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG155.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG007.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG134.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
