image_path,prompt,prediction
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG017.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG133.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG046.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG377.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG170.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG205.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG265.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG174.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG500.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG387.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG155.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,There is normal appearing breast tissue with some mild residual fibroglandular tissue.
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG007.tif,You are an expert radiologist.Generate a radiology report for this mammogram.,"birads negative,breast scattered areas of fibroglandular,No Finding"
